symbol,name,exchange,is_etf,test_issue,yf_symbol,status
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,N,N,ACN,Active
ACNB,ACNB Corporation - Common Stock,NASDAQ,N,N,ACNB,Active
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,N,N,ACNT,Active
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,N,N,ACOG,Active
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,N,N,ACON,Active
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,N,N,ACR,Active
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,N,N,ACRE,Active
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ACRS,Active
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ACRV,Active
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,N,N,ACT,Active
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,N,N,ACTG,Active
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,N,N,ACTU,Active
ACU,Acme United Corporation. Common Stock,NYSE American,N,N,ACU,Active
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,N,N,ACVA,Active
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ACXP,Active
AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE,N,N,AD,Active
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,N,N,ADAC,Active
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,N,N,ADAG,Active
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,N,N,ADAM,Active
ADBE,Adobe Inc. - Common Stock,NASDAQ,N,N,ADBE,Active
ADC,Agree Realty Corporation Common Stock,NYSE,N,N,ADC,Active
ADCT,ADC Therapeutics SA Common Shares,NYSE,N,N,ADCT,Active
ADEA,Adeia Inc.  - Common Stock,NASDAQ,N,N,ADEA,Active
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,N,N,ADGM,Active
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,N,N,ADI,Active
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,N,N,ADIL,Active
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,N,N,ADM,Active
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,N,N,ADMA,Active
ADNT,Adient plc Ordinary Shares ,NYSE,N,N,ADNT,Active
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,N,N,ADP,Active
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,N,N,ADPT,Active
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,N,N,ADSE,Active
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,N,N,ADSK,Active
ADT,ADT Inc. Common Stock,NYSE,N,N,ADT,Active
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,N,N,ADTN,Active
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,N,N,ADUR,Active
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,N,N,ADUS,Active
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,N,N,ADV,Active
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,N,N,ADVB,Active
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,N,N,AEAQ,Active
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,N,N,AEBI,Active
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,N,N,AEC,Active
AEE,Ameren Corporation Common Stock,NYSE,N,N,AEE,Active
AEG,Aegon Ltd. New York Registry Shares,NYSE,N,N,AEG,Active
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,AEHL,Active
AEHR,Aehr Test Systems - Common Stock,NASDAQ,N,N,AEHR,Active
AEI,Alset Inc. - Common Stock,NASDAQ,N,N,AEI,Active
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,N,N,AEIS,Active
AEM,Agnico Eagle Mines Limited Common Stock,NYSE,N,N,AEM,Active
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,N,N,AEMD,Active
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,N,N,AENT,Active
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,N,N,AENTW,Active
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE,N,N,AEO,Active
AEON,"AEON Biopharma, Inc. Class A Common Stock",NYSE American,N,N,AEON,Active
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,N,N,AEP,Active
AER,AerCap Holdings N.V. Ordinary Shares,NYSE,N,N,AER,Active
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,N,N,AERT,Active
AES,The AES Corporation Common Stock,NYSE,N,N,AES,Active
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE,N,N,AESI,Active
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,N,N,AESP,Active
AESPW,Aeon Acquisition I Corp. - Warrants,NASDAQ,N,N,AESPW,Active
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,N,N,AEVA,Active
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,NYSE,N,N,AEXA,Active
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,N,N,AEYE,Active
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,N,N,AFBI,Active
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,N,N,AFCG,Active
AFG,"American Financial Group, Inc. Common Stock",NYSE,N,N,AFG,Active
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",NYSE,N,N,AFGB,Active
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",NYSE,N,N,AFGC,Active
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",NYSE,N,N,AFGD,Active
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",NYSE,N,N,AFGE,Active
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,N,N,AFJK,Active
AFL,AFLAC Incorporated Common Stock,NYSE,N,N,AFL,Active
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,N,N,AFRI,Active
AFRIW,Forafric Global PLC - Warrants,NASDAQ,N,N,AFRIW,Active
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,N,N,AFRM,Active
AFYA,Afya Limited - Class A Common Shares,NASDAQ,N,N,AFYA,Active
AG,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE,N,N,AG,Active
AGBK,AGI Inc Class A Common Shares,NYSE,N,N,AGBK,Active
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,N,N,AGCC,Active
AGCO,AGCO Corporation Common Stock,NYSE,N,N,AGCO,Active
AGEN,Agenus Inc. - Common Stock,NASDAQ,N,N,AGEN,Active
AGI,Alamos Gold Inc. Class A Common Shares,NYSE,N,N,AGI,Active
AGIG,Abundia Global Impact Group Inc. Common stock,NYSE American,N,N,AGIG,Active
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,AGIO,Active
AGL,"agilon health, inc. Common Stock",NYSE,N,N,AGL,Active
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE,N,N,AGM,Active
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,N,N,AGMB,Active
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,N,N,AGMH,Active
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,N,N,AGNC,Active
AGNT,"AGNT, Inc. - Common Stock",NASDAQ,N,N,AGNT,Active
AGO,Assured Guaranty Ltd. Common Stock,NYSE,N,N,AGO,Active
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,N,N,AGPU,Active
AGRO,Adecoagro S.A. Common Shares,NYSE,N,N,AGRO,Active
AGRZ,Agroz Inc. - Class A Ordinary Shares,NASDAQ,N,N,AGRZ,Active
AGX,"Argan, Inc. Common Stock",NYSE,N,N,AGX,Active
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,N,N,AGYS,Active
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,N,N,AHCO,Active
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,N,N,AHMA,Active
AHR,"American Healthcare REIT, Inc. Common Stock",NYSE,N,N,AHR,Active
AHRT,"AH Realty Trust, Inc. Common Stock",NYSE,N,N,AHRT,Active
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE,N,N,AHT,Active
AI,"C3.ai, Inc. Class A Common Stock",NYSE,N,N,AI,Active
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,N,N,AIAI,Active
AIB,AIB Data Centers Inc. Common Stock,NYSE American,N,N,AIB,Active
AIBZ,Bitzero Holdings Inc. - Common Shares,NASDAQ,N,N,AIBZ,Active
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,N,N,AIDX,Active
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,N,N,AIFA,Active
AIFC,AI Financial Corporation - Common Stock,NASDAQ,N,N,AIFC,Active
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,N,N,AIFF,Active
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,N,N,AIFU,Active
AIG,"American International Group, Inc. New Common Stock",NYSE,N,N,AIG,Active
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,N,N,AIHS,Active
AII,"American Integrity Insurance Group, Inc. Common Stock",NYSE,N,N,AII,Active
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,NYSE,N,N,AIIA,Active
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,N,N,AIIO,Active
AIIR,Air Global PLC - Ordinary shares,NASDAQ,N,N,AIIR,Active
AIM,AIM ImmunoTech Inc. Common Stock,NYSE American,N,N,AIM,Active
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,N,N,AIMD,Active
AIMDW,"Ainos, Inc. - warrants",NASDAQ,N,N,AIMDW,Active
AIN,Albany International Corporation Common Stock,NYSE,N,N,AIN,Active
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,N,N,AIOS,Active
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,N,N,AIOT,Active
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,N,N,AIP,Active
AIR,AAR Corp. Common Stock,NYSE,N,N,AIR,Active
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,N,N,AIRE,Active
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,N,N,AIRG,Active
AIRI,Air Industries Group Common Stock,NYSE American,N,N,AIRI,Active
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,N,N,AIRJ,Active
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,N,N,AIRO,Active
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,N,N,AIRS,Active
AIRT,"Air T, Inc. - Common Stock",NASDAQ,N,N,AIRT,Active
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,N,N,AISP,Active
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ,N,N,AISPW,Active
AIT,"Applied Industrial Technologies, Inc. Common Stock",NYSE,N,N,AIT,Active
AIV,Apartment Investment and Management Company Common Stock,NYSE,N,N,AIV,Active
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,N,N,AIXC,Active
AIZ,"Assurant, Inc. Common Stock",NYSE,N,N,AIZ,Active
AJG,Arthur J. Gallagher & Co. Common Stock,NYSE,N,N,AJG,Active
AKA,a.k.a. Brands Holding Corp. Common Stock,NYSE,N,N,AKA,Active
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,N,N,AKAM,Active
AKAN,Akanda Corp. - Common Shares,NASDAQ,N,N,AKAN,Active
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,N,N,AKBA,Active
AKR,Acadia Realty Trust Common Stock,NYSE,N,N,AKR,Active
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,N,N,AKTS,Active
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,N,N,ALAB,Active
ALB,Albemarle Corporation Common Stock,NYSE,N,N,ALB,Active
ALC,Alcon Inc. Ordinary Shares,NYSE,N,N,ALC,Active
ALCO,"Alico, Inc. - Common Stock",NASDAQ,N,N,ALCO,Active
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,N,N,ALDF,Active
ALDFW,Aldel Financial II Inc. - Warrants,NASDAQ,N,N,ALDFW,Active
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ALDX,Active
ALEC,"Alector, Inc. - Common Stock",NASDAQ,N,N,ALEC,Active
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,N,ALF,Active
ALG,"Alamo Group, Inc. Common Stock",NYSE,N,N,ALG,Active
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,N,N,ALGM,Active
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,N,N,ALGN,Active
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,N,N,ALGS,Active
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,N,N,ALGT,Active
ALH,Alliance Laundry Holdings Inc. Common Stock,NYSE,N,N,ALH,Active
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,N,N,ALHC,Active
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ,N,N,ALIS,Active
ALIT,"Alight, Inc. Class A Common Stock",NYSE,N,N,ALIT,Active
ALK,"Alaska Air Group, Inc. Common Stock",NYSE,N,N,ALK,Active
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,N,N,ALKS,Active
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,N,N,ALKT,Active
ALL,Allstate Corporation (The) Common Stock,NYSE,N,N,ALL,Active
ALLE,Allegion plc Ordinary Shares,NYSE,N,N,ALLE,Active
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,N,N,ALLO,Active
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,N,N,ALLR,Active
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,N,N,ALLT,Active
ALLY,Ally Financial Inc. Common Stock,NYSE,N,N,ALLY,Active
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,N,N,ALM,Active
ALMR,"Alamar Biosciences, Inc. - Class A common stock",NASDAQ,N,N,ALMR,Active
ALMS,Alumis Inc. - Common Stock,NASDAQ,N,N,ALMS,Active
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,N,N,ALMU,Active
ALNT,Allient Inc. - Common Stock,NASDAQ,N,N,ALNT,Active
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ALNY,Active
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,N,N,ALOT,Active
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",NASDAQ,N,N,ALOV,Active
ALOVW,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Warrants",NASDAQ,N,N,ALOVW,Active
ALOY,REalloys Inc. - Common Stock,NASDAQ,N,N,ALOY,Active
ALP,Alpha Compute Corp  - Common Stock,NASDAQ,N,N,ALP,Active
ALPS,ALPS Group Inc - Ordinary Share,NASDAQ,N,N,ALPS,Active
ALPX,Alpex Acquisition Corporation - Class A Ordinary Shares,NASDAQ,N,N,ALPX,Active
ALPXW,Alpex Acquisition Corporation - Warrants,NASDAQ,N,N,ALPXW,Active
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ,N,N,ALRM,Active
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ,N,N,ALRS,Active
ALSN,"Allison Transmission Holdings, Inc. Common Stock",NYSE,N,N,ALSN,Active
ALT,"Altimmune, Inc. - Common Stock",NASDAQ,N,N,ALT,Active
ALTG,Alta Equipment Group Inc. Class A Common Stock,NYSE,N,N,ALTG,Active
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ,N,N,ALTI,Active
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ,N,N,ALTO,Active
ALUB,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,NYSE,N,N,ALUB,Active
ALV,"Autoliv, Inc. Common Stock",NYSE,N,N,ALV,Active
ALVO,Alvotech - Ordinary Shares,NASDAQ,N,N,ALVO,Active
ALX,"Alexander's, Inc. Common Stock",NYSE,N,N,ALX,Active
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ,N,N,ALXO,Active
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAQ,N,N,ALZN,Active
AM,Antero Midstream Corporation Common Stock,NYSE,N,N,AM,Active
AMAL,Amalgamated Financial Corp. - Common Stock,NASDAQ,N,N,AMAL,Active
AMAN,Amanat Acquisition Corp - Class A Ordinary Shares,NASDAQ,N,N,AMAN,Active
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,N,N,AMAT,Active
AMBA,"Ambarella, Inc. - Ordinary Shares",NASDAQ,N,N,AMBA,Active
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),NYSE American,N,N,AMBO,Active
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,NYSE,N,N,AMBP,Active
AMBQ,"Ambiq Micro, Inc. Common Stock",NYSE,N,N,AMBQ,Active
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",NYSE,N,N,AMC,Active
AMCI,AMC Robotics Corporation - Common Stock,NASDAQ,N,N,AMCI,Active
AMCR,Amcor plc Ordinary Shares,NYSE,N,N,AMCR,Active
AMCX,AMC Global Media Inc. - Class A Common Stock,NASDAQ,N,N,AMCX,Active
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,N,N,AMD,Active
AME,"AMETEK, Inc.",NYSE,N,N,AME,Active
AMG,"Affiliated Managers Group, Inc. Common Stock",NYSE,N,N,AMG,Active
AMGN,Amgen Inc. - Common Stock,NASDAQ,N,N,AMGN,Active
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAQ,N,N,AMIX,Active
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAQ,N,N,AMKR,Active
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,AMLX,Active
AMN,AMN Healthcare Services Inc,NYSE,N,N,AMN,Active
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAQ,N,N,AMOD,Active
AMP,"Ameriprise Financial, Inc. Common Stock",NYSE,N,N,AMP,Active
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ,N,N,AMPG,Active
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,AMPH,Active
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,N,N,AMPL,Active
AMPX,"Amprius Technologies, Inc. Common Stock",NYSE,N,N,AMPX,Active
AMPY,Amplify Energy Corp. Common Stock,NYSE,N,N,AMPY,Active
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",NYSE,N,N,AMR,Active
AMRC,"Ameresco, Inc. Class A Common Stock",NYSE,N,N,AMRC,Active
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ,N,N,AMRX,Active
AMRZ,Amrize Ltd Ordinary Shares,NYSE,N,N,AMRZ,Active
AMS,American Shared Hospital Services Common Stock,NYSE American,N,N,AMS,Active
AMSC,American Superconductor Corporation - Common Stock,NASDAQ,N,N,AMSC,Active
AMSF,"AMERISAFE, Inc. - Common Stock",NASDAQ,N,N,AMSF,Active
AMSS,AMASS Brands Inc. - Common Stock,NASDAQ,N,N,AMSS,Active
AMST,Amesite Inc. - Common Stock,NASDAQ,N,N,AMST,Active
AMT,American Tower Corporation (REIT) Common Stock,NYSE,N,N,AMT,Active
AMTB,Amerant Bancorp Inc. Class A Common Stock,NYSE,N,N,AMTB,Active
AMTM,"Amentum Holdings, Inc. Common Stock",NYSE,N,N,AMTM,Active
AMTX,"Aemetis, Inc - Common Stock",NASDAQ,N,N,AMTX,Active
AMWL,American Well Corporation Class A Common Stock,NYSE,N,N,AMWL,Active
AMZE,"Amaze Holdings, Inc. Common Stock",NYSE American,N,N,AMZE,Active
AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,N,N,AMZN,Active
AN,"AutoNation, Inc. Common Stock",NYSE,N,N,AN,Active
ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ,N,N,ANAB,Active
ANDE,"The Andersons, Inc. - Common Stock",NASDAQ,N,N,ANDE,Active
ANDG,Andersen Group Inc. Class A Common Stock,NYSE,N,N,ANDG,Active
ANET,"Arista Networks, Inc. Common Stock",NYSE,N,N,ANET,Active
ANF,Abercrombie & Fitch Company Common Stock,NYSE,N,N,ANF,Active
ANGH,Anghami Inc. - Ordinary Shares,NASDAQ,N,N,ANGH,Active
ANGHW,Anghami Inc. - Warrants,NASDAQ,N,N,ANGHW,Active
ANGI,Angi Inc. - Class A Common Stock,NASDAQ,N,N,ANGI,Active
ANGO,"AngioDynamics, Inc. - Common Stock",NASDAQ,N,N,ANGO,Active
ANGX,"Angel Studios, Inc. Class A Common Stock",NYSE,N,N,ANGX,Active
ANIK,Anika Therapeutics Inc. - Common Stock,NASDAQ,N,N,ANIK,Active
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ANIP,Active
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ,N,N,ANIX,Active
ANNA,"AleAnna, Inc. - Class A Common Stock",NASDAQ,N,N,ANNA,Active
ANNX,"Annexon, Inc. - common stock",NASDAQ,N,N,ANNX,Active
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,NASDAQ,N,N,ANPA,Active
ANRO,"Alto Neuroscience, Inc. Common Stock",NYSE,N,N,ANRO,Active
